Наименование;Раздел;Таблица фигур;Короткое наименование;Состав;"Пределы давления
настройки, Рн, кгс/см2 (№ пружины)";Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Диаметр DN/DN1, мм;Давление PN/PN1, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
"Блок предохранительных клапанов БПУ Р 50-16 50с02нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4Р 50-16  17с6нж DN 50/80 PN 1,6/0,6 МПа У1, пружина № ?, Рн=? кгс/см², корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 50-16-01 23с16нж1 DN 50 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 80-6 23с18нж DN 80 PN 0,6 МПа У1, корпус ст. 20Л - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50с02нж1;Блок предохранительных клапанов БПУ Р 50-16 У1 50с02нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 50-16 17с6нж DN 50/80 PN 1,6/0,6 МПа У1, корпус ст. 20Л - 2 шт.; переключающее устройство ПУ 50-16-01 23с16нж1 DN 50 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 80-6 23с18нж DN 80 PN 0,6 МПа У1, корпус ст. 20Л - 1 шт.";"0,5…1,2 (10); 1,2…2,5 (11); 2,5…4 (12); 4…8 (13); 8…16 (14)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50/80;16/6;Углеродистая сталь;160;По запросу;401670;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 80-16 50с06нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4Р 80-16 17с6нж DN 80/100 PN 1,6/0,6 МПа У1, пружина № ?, Рн=? кгс/см², корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 80-16-01 23с16нж1 DN 80 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 100-6 23с18нж DN 100 PN 0,6 МПа У1, корпус ст. 20Л - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50с06нж1;Блок предохранительных клапанов БПУ Р 80-16 У1 50с06нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 80-16 17с6нж DN 80 (исп. В) / 100 (исп. В) PN 1,6 (вход) / 0,6 (выход) МПа У1, корпус ст. 20Л - 2 шт.; переключающее устройство ПУ 80-16-01 23с16нж1 DN 80 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 100-6 23с18нж DN 100 PN 0,6 МПа У1, корпус ст. 20Л - 1 шт.";"0,5…1,2 (30); 1,2…3 (31); 3…5 (32); 5…8 (33); 8…16 (34)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80/100;16/6;Углеродистая сталь;216;По запросу;485910;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 100-16 50с10нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК5Р 100-16 17с6нж DN 100/150 PN 1,6/1,6 МПа У1, пружина № ?, Рн=? кгс/см², корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 100-16-01 23с16нж1 DN 100 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 150-16 23с16нж DN 150 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50с10нж1;Блок предохранительных клапанов БПУ Р 100-16 У1 50с10нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК5Р 100-16 17с6нж DN 100 (исп. В) / 150 (исп. В) PN 1,6 (вход) / 1,6 (выход) МПа У1, корпус ст. 20Л - 2 шт.; переключающее устройство ПУ 100-16-01 23с16нж1 DN 100 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 150-16 23с16нж DN 150 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.";"0,5…1 (50); 0,8…1,6 (51); 1,5…3 (52); 2,5…4,5 (53); 4,5…8,5 (54); 8…16 (55)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100/150;16/6;Углеродистая сталь;400;По запросу;702130;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 150-16 50с14нж2 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4Р 150-16 17с6нж DN 150/200 PN 1,6/0,6 МПа У1, пружина № ?, Рн=? кгс/см², корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 150-16-01 23с16нж1 DN 150 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 200-6 23с18нж DN 200 PN 0,6 МПа У1, корпус ст. 20Л - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50с14нж2;Блок предохранительных клапанов БПУ Р 150-16 У1 50с14нж2;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 150-16 17с6нж DN 150/200 PN 1,6/0,6 МПа У1, корпус ст. 20Л - 2 шт.; переключающее устройство ПУ 150-16-01 23с16нж1 DN 150 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 200-6 23с18нж DN 200 PN 0,6 МПа У1, корпус ст. 20Л - 1 шт.";"0,5…1,5 (70); 1,5…3 (71); 3…5 (72); 5…8 (73); 8…12 (74); 12…16 (75)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;150/200;16/6;Углеродистая сталь;635;По запросу;917640;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 150-40 50с15нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4Р 150-40 17с21нж DN 150/200 PN 4,0/1,6 МПа У1, пружина № ?, Рн=? кгс/см², корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 150-40-01 23с17нж1 DN 150 PN 4,0 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 200-16 23с16нж DN 200 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50с15нж1;Блок предохранительных клапанов БПУ Р 150-40 У1 50с15нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 150-40 17с21нж DN 150/200 PN 4,0/1,6 МПа У1, корпус ст. 20Л - 2 шт.; переключающее устройство ПУ 150-40-01 23с17нж1 DN 150 PN 4,0 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 200-16 23с16нж DN 200 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.";"8…12 (74); 12…18 (75); 18…25 (76); 25…35 (77); 35…40 (78)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;150/200;40/16;Углеродистая сталь;685;По запросу;984330;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 200-16 50с16нж2 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4Р 200-16 17с17нж DN 200/300 PN 1,6/0,6 МПа У1, пружина № ?, Рн=? кгс/см², корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 200-16 23с16нж DN 200 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 300-6 23с18нж DN 300 PN 0,6 МПа У1, корпус ст. 20Л - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50с16нж2;Блок предохранительных клапанов БПУ Р 200-16 У1 50с16нж2;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 200-16 17с17нж DN 200/300 PN 1,6/0,6 МПа У1, корпус ст. 20Л - 2 шт.; переключающее устройство ПУ 200-16 23с16нж DN 200 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 300-6 23с18нж DN 300 PN 0,6 МПа У1, корпус ст. 20Л - 1 шт.";"0,5…1 (72); 1…2 (73); 2…3 (74); 3…5 (75); 5…7 (76); 7…9 (77); 9…12 (78); 12…16 (79)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;200/300;16/6;Углеродистая сталь;1093;По запросу;1950980;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 25-40 50с01нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4Р 25-40 17с25нж DN 25/40 PN 4,0/1,6 МПа У1, пружина № ?, Рн=? кгс/см², корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 25-40 23с17нж DN 25 PN 4,0 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 50-16 23с16нж DN 50 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50с01нж1;Блок предохранительных клапанов БПУ Р 25-40 У1 50с01нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 25-40 17с25нж DN 25/40 PN 4,0/1,6 МПа У1, корпус ст. 20Л - 2 шт.; переключающее устройство ПУ 25-40 23с17нж DN 25 PN 4,0 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 50-16 23с16нж DN 50 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.";"4…8 (8); 8…16 (1); 16…25 (2); 25…40 (3)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;25/40;40/16;Углеродистая сталь;131;По запросу;334560;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 50-40 50с03нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4Р 50-40 17с21нж DN 50/80 PN 4,0/1,6 МПа У1, пружина № ?, Рн=? кгс/см², корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 50-40-01 23с17нж1 DN 50 PN 4,0 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 80-16 23с16нж DN 80 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50с03нж1;Блок предохранительных клапанов БПУ Р 50-40 У1 50с03нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 50-40 17с21нж DN 50/80 PN 4,0/1,6 МПа У1, корпус ст. 20Л - 2 шт.; переключающее устройство ПУ 50-40-01 23с17нж1 DN 50 PN 4,0 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 80-16 23с16нж DN 80 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.";"0,5…1,2 (10); 1,2…2,5 (11); 2,5…4 (12); 4…8 (13); 8…20 (14); 20…30 (15); 30…40 (16)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50/80;40/16;Углеродистая сталь;165;По запросу;429050;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 80-40 50с07нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4Р 80-40 17с21нж DN 80/100 PN 4,0/1,6 МПа У1, пружина № ?, Рн=? кгс/см², корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 80-40-01 23с17нж1 DN 80 PN 4,0 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 100-16 23с16нж DN 100 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50с07нж1;Блок предохранительных клапанов БПУ Р 80-40 У1 50с07нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 80-40 17с21нж DN 80 (исп. F) / 100 (исп. В) PN 4,0 (вход) / 1,6 (выход) МПа У1, корпус ст. 20Л - 2 шт.; переключающее устройство ПУ 80-40-01 23с17нж1 DN 80 PN 4,0 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 100-16 23с16нж DN 100 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.";"0,5…1,2 (30); 1,2…3 (31); 3…5 (32); 5…8 (33); 8…20 (35); 20…30 (36); 30…40 (37)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80/100;40/16;Углеродистая сталь;260;По запросу;554000;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 100-40 50с11нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК5Р 100-40 17с21нж DN 100/150 PN 4,0/1,6 МПа У1, пружина № ?, Рн=? кгс/см², корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 100-40-01 23с17нж1 DN 100 PN 4,0 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 150-16 23с16нж DN 150 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50с11нж1;Блок предохранительных клапанов БПУ Р 100-40 У1 50с11нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК5Р 100-40 17с21нж DN 100 (исп. F) / 150 (исп. В) PN 4,0 (вход) / 1,6 (выход) МПа У1, корпус ст. 20Л - 2 шт.; переключающее устройство ПУ 100-40-01 23с17нж1 DN 100 PN 4,0 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 150-16 23с16нж DN 150 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.";"8…16 (55); 16…26 (56); 26…40 (57)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100/150;40/16;Углеродистая сталь;450;По запросу;764470;25-30 рабочих дней
