Наименование;Раздел;Таблица фигур;Рабочая среда;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, с обязательным проведением профилактического осмотра и ремонта раз в два года, лет;Назначенный ресурс циклов за 4 года, циклов;Гарантия;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Tmax среды, ºC;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Клапан (вентиль) дренажный под приварку ручной 1213-6-0 DN 6 PN 10,0 МПа Т450 °С, корпус ст. 30Х13;Энергетическая арматура;1213-6-0;Вода - пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;6;100;450;Жаропрочная высоколегированная сталь;0,4;По запросу;4290;Под заказ
Клапан (вентиль) дренажный под приварку ручной 805-6-0 DN 6 PN 10,0 МПа Т450 °С, корпус ст. 30Х13;Энергетическая арматура;805-6-0;Вода - пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;6;100;450;Жаропрочная высоколегированная сталь;0,4;По запросу;4290;Под заказ
Клапан (вентиль) запорный под приварку ручной 1456-10-0 DN 10 PN 10,0 МПа Т250 °С, корпус ст. 20;Энергетическая арматура;1456-10-0;Вода - пар;От -60 до +40;ХЛ1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;10;100;280;Углеродистая сталь;3,1;По запросу;15180;Под заказ
Клапан (вентиль) трехходовой под приварку ручной 1093-10-0 DN 10 PN 13,7 МПа Т560 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1093-10-0;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;10;137;560;Жаропрочная низколегированная сталь;1,1;По запросу;6930;Под заказ
Клапан (вентиль) запорный под приварку ручной 1с-11-1М DN 10 PN 10,0 МПа Т450 °С, корпус ст. 20;Энергетическая арматура; 1с-11-1М;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;10;100;450;Углеродистая сталь;3,1;По запросу;12870;Под заказ
Клапан (вентиль) запорный под приварку ручной 1с-12-1 DN 10 PN 25,0 МПа Т350 °С, корпус ст. 20;Энергетическая арматура;1с-12-1;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;10;250;350;Углеродистая сталь;3,1;По запросу;12870;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ПЭМ-А12М У2) 1с-12-1ЭЧ DN 10 PN 25,0 МПа Т350 °С, корпус ст. 20;Энергетическая арматура;1с-12-1ЭЧ;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;10;250;350;Углеродистая сталь;27;По запросу;118530;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ЭП-З-100-24-А2-05-В-У1) 1с-12-1ЭН DN 10 PN 25,0 МПа Т350 °С, корпус ст. 20;Энергетическая арматура;1с-12-1ЭН;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;10;250;350;Углеродистая сталь;18;По запросу;197340;Под заказ
Клапан (вентиль) запорный под приварку ручной 1с-13-1 DN 10 PN 16,5 МПа Т560 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1с-13-1;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;10;165;560;Жаропрочная низколегированная сталь;3,1;По запросу;13720;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ПЭМ-А12М У2) 1с-14-1ЭЧ DN 10 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;1с-14-1ЭЧ;Вода;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;10;373;280;Углеродистая сталь;27;По запросу;118530;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ЭП-З-100-24-А2-05-В-У1) 1с-14-1ЭН DN 10 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;1с-14-1ЭН;Вода;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;10;373;280;Углеродистая сталь;18;По запросу;197340;Под заказ
Клапан (вентиль) запорный под приварку под электропривод 1с-14-1Э DN 10 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;1с-14-1Э;Вода;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Под электропривод;10;373;280;Углеродистая сталь;3,1;По запросу;15440;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом 1с-15-1Э DN 10 PN 25,0 МПа Т545 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1с-15-1Э;Пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;10;250;545;Углеродистая сталь;27;По запросу;74840;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ПЭМ-А12М У2) 1с-15-1ЭЧ DN 10 PN 25,0 МПа Т545 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1с-15-1ЭЧ;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;10;250;545;Жаропрочная низколегированная сталь;27;По запросу;120510;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ЭП-З-100-24-А2-05-В-У1) 1с-15-1ЭН DN 10 PN 25,0 МПа Т545 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1с-15-1ЭН;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;10;250;545;Жаропрочная низколегированная сталь;18;По запросу;200640;Под заказ
Клапан (вентиль) угловой под приварку ручной Т-202БМ DN 10 PN 13,7 МПа Т560 °С, корпус ст. 12Х1МФ;Энергетическая арматура;Т-202БМ;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;10;137;560;Жаропрочная низколегированная сталь;2,2;По запросу;12010;Под заказ
Клапан (вентиль) запорный под приварку ручной 588-10-0 DN 10 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;588-10-0;Вода;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;10;373;280;Углеродистая сталь;3,1;По запросу;12870;Под заказ
Клапан (вентиль) запорный под приварку ручной 589-10-0 DN 10 PN 25,0 МПа Т545 °С, корпус ст. 12Х1МФ;Энергетическая арматура;589-10-0;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;10;250;545;Жаропрочная низколегированная сталь;3,1;По запросу;14040;Под заказ
Клапан (вентиль) запорный под приварку ручной 1с-17-2 DN 10 PN 13,7 МПа Т560 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1с-17-2;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;10;137;560;Жаропрочная низколегированная сталь;0,7;По запросу;15150;Под заказ
Клапан (вентиль) запорный под приварку ручной 1с-11-2 DN 15 PN 10,0 МПа Т450 °С, корпус ст. 20;Энергетическая арматура;1с-11-2;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;15;100;450;Углеродистая сталь;5,4;По запросу;12290;Под заказ
Клапан (вентиль) запорный под приварку ручной 1с-12-2 DN 15 PN 25,0 МПа Т350 °С, корпус ст. 20;Энергетическая арматура;1с-12-2;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;15;250;350;Углеродистая сталь;5,4;По запросу;14530;Под заказ
Клапан (вентиль) запорный под приварку ручной 1с-15-2 DN 15 PN 25,0 МПа Т545 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1с-15-2;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;15;250;545;Жаропрочная низколегированная сталь;5,4;По запросу;14700;Под заказ
Клапан (вентиль) запорный под приварку ручной 1456-20-0 DN 20 PN 25,0 МПа  Т250 °С, корпус ст. 20;Энергетическая арматура;1456-20-0;Вода - пар;От -60 до +40;ХЛ1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;20;250;280;Углеродистая сталь;5,4;По запросу;24160;Под заказ
Клапан (вентиль) запорный под приварку ручной 1с-11-3 DN 20 PN 10,0 МПа Т425 °С, корпус ст. 20;Энергетическая арматура;1с-11-3;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;20;100;425;Углеродистая сталь;5,4;По запросу;16390;Под заказ
Клапан (вентиль) запорный под приварку ручной 1с-11-4 DN 32 PN 10,0 МПа Т425 °С, корпус ст. 20;Энергетическая арматура;1с-11-4;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;32;100;425;Углеродистая сталь;6,8;По запросу;33800;Под заказ
