Наименование;Раздел;Страна производитель;Таблица фигур;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Герметизация подвижного соединения;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Клапан запорный сальниковый муфтовый ручной 15б1п DN 15 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б1п;Вода, насыщенный пар;От +1 до +200;От +1 до +35;УХЛ4;А;ОТК;7;7000;2400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;15;16;Латунь;0,2;По запросу;510;Под заказ
Клапан запорный сальниковый муфтовый ручной 15б1п DN 20 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б1п;Вода, насыщенный пар;От +1 до +200;От +1 до +35;УХЛ4;А;ОТК;7;7000;2400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;20;16;Латунь;0,3;По запросу;620;Под заказ
Клапан запорный сальниковый муфтовый ручной 15б1п DN 25 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б1п;Вода, насыщенный пар;От +1 до +200;От +1 до +35;УХЛ4;А;ОТК;7;7000;2400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;25;16;Латунь;0,6;По запросу;840;Под заказ
Клапан запорный сальниковый муфтовый ручной 15б1п DN 32 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б1п;Вода, насыщенный пар;От +1 до +200;От +1 до +35;УХЛ4;А;ОТК;7;7000;2400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;32;16;Латунь;0,8;По запросу;1220;Под заказ
Клапан запорный сальниковый муфтовый ручной 15б1п DN 40 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б1п;Вода, насыщенный пар;От +1 до +200;От +1 до +35;УХЛ4;А;ОТК;7;7000;2400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;40;16;Латунь;1,4;По запросу;1870;Под заказ
Клапан запорный сальниковый муфтовый ручной 15б1п DN 50 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б1п;Вода, насыщенный пар;От +1 до +200;От +1 до +35;УХЛ4;А;ОТК;7;7000;2400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;50;16;Латунь;1,9;По запросу;2520;Под заказ
Клапан запорный сальниковый муфтовый ручной 15б3р DN 15 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б3р;Вода;От +1 до +70;От +1 до +35;УХЛ4;А;ОТК;5;5000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;15;16;Латунь;0,2;По запросу;520;Под заказ
Клапан запорный сальниковый муфтовый ручной 15б3р DN 20 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б3р;Вода;От +1 до +70;От +1 до +35;УХЛ4;А;ОТК;5;5000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;20;16;Латунь;0,3;По запросу;720;Под заказ
Клапан запорный сальниковый муфтовый ручной 15б3р DN 25 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б3р;Вода;От +1 до +70;От +1 до +35;УХЛ4;А;ОТК;5;5000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;25;16;Латунь;0,6;По запросу;880;Под заказ
Клапан запорный сальниковый муфтовый ручной 15б3р DN 32 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б3р;Вода;От +1 до +70;От +1 до +35;УХЛ4;А;ОТК;5;5000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;32;16;Латунь;0,8;По запросу;1080;Под заказ
Клапан запорный сальниковый муфтовый ручной 15б3р DN 40 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б3р;Вода;От +1 до +70;От +1 до +35;УХЛ4;А;ОТК;5;5000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;40;16;Латунь;1,4;По запросу;1800;Под заказ
Клапан запорный сальниковый муфтовый ручной 15б3р DN 50 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б3р;Вода;От +1 до +70;От +1 до +35;УХЛ4;А;ОТК;5;5000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;50;16;Латунь;1,9;По запросу;2040;Под заказ
"Клапан запорный мембранный фланцевый ""после себя"" нормально открытый 22ч6п DN 50 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;Россия;22ч6п;Слабая соляная кислота (НСI) до 12%, слабоагрессивные растворы каустик (NaOH) до 20%, серной кислоты (H2SO4) до 8%, сырая вода;От -15 до +60;От -15 до +45;У3;А;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;50;6;Чугун;26;По запросу;0;Под заказ
"Клапан запорный мембранный фланцевый ""после себя"" нормально открытый 22ч6п DN 80 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;Россия;22ч6п;Слабая соляная кислота (НСI) до 12%, слабоагрессивные растворы каустик (NaOH) до 20%, серной кислоты (H2SO4) до 8%, сырая вода;От -15 до +60;От -15 до +45;У3;А;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;80;6;Чугун;49;По запросу;0;Под заказ
"Клапан запорный мембранный фланцевый ""после себя"" нормально открытый 22ч6п DN 100 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;Россия;22ч6п;Слабая соляная кислота (НСI) до 12%, слабоагрессивные растворы каустик (NaOH) до 20%, серной кислоты (H2SO4) до 8%, сырая вода;От -15 до +60;От -15 до +45;У3;А;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;100;6;Чугун;56;По запросу;0;Под заказ
