Наименование;Раздел;Страна производитель;Обозначение ;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Тип крана;Тип прохода;Вид проходимости;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления;;;
Кран шаровой полнопроходной муфтовый ручной 11б27п DN 15 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015 (газ);Краны шаровые;Россия;11б27п;Природный газ, в том числе сжиженный углеводородный газ (СУГ);От -60 до +50;От -60 до +60;УХЛ4;А;ОТК;10;10000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Муфтовое;Ручной;15;16;Латунь;0,2;По запросу;330;Под заказ;;;
Кран шаровой полнопроходной муфтовый ручной 11б27п DN 20 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015 (газ);Краны шаровые;Россия;11б27п;Природный газ, в том числе сжиженный углеводородный газ (СУГ);От -60 до +50;От -60 до +60;УХЛ4;А;ОТК;10;10000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Муфтовое;Ручной;20;16;Латунь;0,2;По запросу;550;Под заказ;;;
Кран шаровой полнопроходной муфтовый ручной 11б27п DN 25 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015 (газ);Краны шаровые;Россия;11б27п;Природный газ, в том числе сжиженный углеводородный газ (СУГ);От -60 до +50;От -60 до +60;УХЛ4;А;ОТК;10;10000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Муфтовое;Ручной;25;16;Латунь;0,3;По запросу;700;Под заказ;;;
Кран шаровой полнопроходной муфтовый ручной 11б27п DN 32 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015 (газ);Краны шаровые;Россия;11б27п;Природный газ, в том числе сжиженный углеводородный газ (СУГ);От -60 до +50;От -60 до +60;УХЛ4;А;ОТК;10;10000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Муфтовое;Ручной;32;16;Латунь;0,6;По запросу;1560;Под заказ;;;
Кран шаровой полнопроходной муфтовый ручной 11б27п DN 40 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015 (газ);Краны шаровые;Россия;11б27п;Природный газ, в том числе сжиженный углеводородный газ (СУГ);От -60 до +50;От -60 до +60;УХЛ4;А;ОТК;10;10000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Муфтовое;Ручной;40;16;Латунь;0,9;По запросу;2160;Под заказ;;;
Кран шаровой полнопроходной муфтовый ручной 11б27п DN 50 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015 (газ);Краны шаровые;Россия;11б27п;Природный газ, в том числе сжиженный углеводородный газ (СУГ);От -60 до +50;От -60 до +60;УХЛ4;А;ОТК;10;10000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Муфтовое;Ручной;50;16;Латунь;1,3;По запросу;2880;Под заказ;;;
Кран шаровой полнопроходной муфтовый ручной 11б27п1 DN 15 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;11б27п1;Вода, пар;От +1 до +150;От +1 до +40;УХЛ4;А;ОТК;10;10000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Муфтовое;Ручной;15;16;Латунь;0,2;По запросу;330;Под заказ;;;
Кран шаровой полнопроходной муфтовый ручной 11б27п1 DN 20 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;11б27п1;Вода, пар;От +1 до +150;От +1 до +40;УХЛ4;А;ОТК;10;10000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Муфтовое;Ручной;20;16;Латунь;0,2;По запросу;550;Под заказ;;;
Кран шаровой полнопроходной муфтовый ручной 11б27п1 DN 25 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;11б27п1;Вода, пар;От +1 до +150;От +1 до +40;УХЛ4;А;ОТК;10;10000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Муфтовое;Ручной;25;16;Латунь;0,3;По запросу;700;Под заказ;;;
Кран шаровой полнопроходной муфтовый ручной 11б27п1 DN 32 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;11б27п1;Вода, пар;От +1 до +150;От +1 до +40;УХЛ4;А;ОТК;10;10000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Муфтовое;Ручной;32;16;Латунь;0,6;По запросу;1560;Под заказ;;;
