Наименование;Раздел;Таблица фигур;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Переключающее устройство ПУ 80-6 23с18нж DN 80 PN 0,6 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с18нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;6;Углеродистая сталь;51;По запросу;164260;Под заказ
Переключающее устройство ПУ 100-6 23с18нж DN 100 PN 0,6 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с18нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;6;Углеродистая сталь;67;По запросу;224570;Под заказ
Переключающее устройство ПУ 200-6 23с18нж DN 200 PN 0,6 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с18нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;200;6;Углеродистая сталь;241;По запросу;393390;Под заказ
Переключающее устройство ПУ 300-6 23с18нж DN 300 PN 0,6 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с18нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;300;6;Углеродистая сталь;460;По запросу;1272680;Под заказ
Переключающее устройство ПУ 50-16 23с16нж DN 50 PN 1,6 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с16нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50;16;Углеродистая сталь;39;По запросу;153460;Под заказ
Переключающее устройство ПУ 50-16-01 23с16нж1 DN 50 PN 1,6 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с16нж1;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50;16;Углеродистая сталь;43;По запросу;168800;Под заказ
Переключающее устройство ПУ 80-16 23с16нж DN 80 PN 1,6 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с16нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;16;Углеродистая сталь;57;По запросу;175210;Под заказ
Переключающее устройство ПУ 80-16-01 23с16нж1 DN 80 PN 1,6 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с16нж1;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;16;Углеродистая сталь;62;По запросу;192380;Под заказ
Переключающее устройство ПУ 100-16 23с16нж DN 100 PN 1,6 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с16нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;16;Углеродистая сталь;79;По запросу;239230;Под заказ
Переключающее устройство ПУ 100-16-01 23с16нж1 DN 100 PN 1,6 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с16нж1;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;16;Углеродистая сталь;87;По запросу;262820;Под заказ
