Наименование;Раздел;Страна производитель;Таблица фигур;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Вид затвора;Расположение ходового узла;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Задвижка параллельная литая с выдвижным шпинделем фланцевая ручная 30ч6бр DN 50 PN 1,6 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч6бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +225;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С выдвижным шпинделем;Фланцевое;Ручной;50;16;Чугун;11,5;По запросу;4350;Под заказ
Задвижка параллельная литая с выдвижным шпинделем фланцевая ручная 30ч6бр DN 80 PN 1,6 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч6бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +225;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С выдвижным шпинделем;Фланцевое;Ручной;80;16;Чугун;19;По запросу;6500;Под заказ
Задвижка параллельная литая с выдвижным шпинделем фланцевая ручная 30ч6бр DN 100 PN 1,6 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч6бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +225;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С выдвижным шпинделем;Фланцевое;Ручной;100;16;Чугун;30,5;По запросу;9000;Под заказ
Задвижка параллельная литая с выдвижным шпинделем фланцевая ручная 30ч6бр DN 125 PN 1,6 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч6бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +225;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С выдвижным шпинделем;Фланцевое;Ручной;125;16;Чугун;42;По запросу;21960;Под заказ
Задвижка параллельная литая с выдвижным шпинделем фланцевая ручная 30ч6бр DN 150 PN 1,6 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч6бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +225;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С выдвижным шпинделем;Фланцевое;Ручной;150;16;Чугун;58;По запросу;22320;Под заказ
Задвижка параллельная литая с выдвижным шпинделем фланцевая ручная 30ч6бр DN 200 PN 1,6 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч6бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +225;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С выдвижным шпинделем;Фланцевое;Ручной;200;16;Чугун;99;По запросу;44430;Под заказ
Задвижка параллельная литая с выдвижным шпинделем фланцевая ручная 30ч6бр DN 250 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч6бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +225;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С выдвижным шпинделем;Фланцевое;Ручной;250;10;Чугун;136;По запросу;63160;Под заказ
Задвижка параллельная литая с выдвижным шпинделем фланцевая ручная 30ч6бр DN 300 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч6бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +225;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С выдвижным шпинделем;Фланцевое;Ручной;300;10;Чугун;203;По запросу;95640;Под заказ
Задвижка параллельная литая с выдвижным шпинделем фланцевая ручная 30ч6бр DN 350 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч6бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +225;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С выдвижным шпинделем;Фланцевое;Ручной;350;10;Чугун;327;По запросу;128660;Под заказ
Задвижка параллельная литая с выдвижным шпинделем фланцевая ручная 30ч6бр DN 400 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч6бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +225;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С выдвижным шпинделем;Фланцевое;Ручной;400;10;Чугун;440;По запросу;195880;Под заказ
