Наименование;Раздел;Страна производитель;Таблица фигур;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Конструктивный тип;Тип присоединения;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Клапан обратный подъемный фланцевый 16с10нж DN 15 PN 1,6 МПа У1, корпус ст. 25Л;Клапаны обратные;Россия;16с10нж;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -40 до +425;От -40 до +45;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Фланцевое;15;16;Углеродистая сталь;2,4;По запросу;4270;Под заказ
Клапан обратный подъемный фланцевый 16с10нж DN 20 PN 1,6 МПа У1, корпус ст. 25Л;Клапаны обратные;Россия;16с10нж;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -40 до +425;От -40 до +45;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Фланцевое;20;16;Углеродистая сталь;3;По запросу;4820;Под заказ
Клапан обратный подъемный фланцевый 16с10нж DN 25 PN 1,6 МПа У1, корпус ст. 25Л;Клапаны обратные;Россия;16с10нж;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -40 до +425;От -40 до +45;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Фланцевое;25;16;Углеродистая сталь;7;По запросу;5790;Под заказ
Клапан обратный подъемный фланцевый 16с10нж DN 32 PN 1,6 МПа У1, корпус ст. 25Л;Клапаны обратные;Россия;16с10нж;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -40 до +425;От -40 до +45;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Фланцевое;32;16;Углеродистая сталь;8,5;По запросу;6770;Под заказ
Клапан обратный подъемный фланцевый 16с10нж DN 40 PN 1,6 МПа У1, корпус ст. 25Л;Клапаны обратные;Россия;16с10нж;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -40 до +425;От -40 до +45;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Фланцевое;40;16;Углеродистая сталь;11;По запросу;7680;Под заказ
Клапан обратный подъемный фланцевый 16с10нж DN 50 PN 1,6 МПа У1, корпус ст. 25Л;Клапаны обратные;Россия;16с10нж;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -40 до +425;От -40 до +45;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Фланцевое;50;16;Углеродистая сталь;12,6;По запросу;9190;Под заказ
Клапан обратный подъемный фланцевый 16с10нж DN 65 PN 1,6 МПа У1, корпус ст. 25Л;Клапаны обратные;Россия;16с10нж;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -40 до +425;От -40 до +45;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Фланцевое;65;16;Углеродистая сталь;20;По запросу;13400;Под заказ
Клапан обратный подъемный фланцевый 16с10нж DN 80 PN 1,6 МПа У1, корпус ст. 25Л;Клапаны обратные;Россия;16с10нж;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -40 до +425;От -40 до +45;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Фланцевое;80;16;Углеродистая сталь;28;По запросу;15240;Под заказ
Клапан обратный подъемный фланцевый 16с10нж DN 100 PN 1,6 МПа У1, корпус ст. 25Л;Клапаны обратные;Россия;16с10нж;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -40 до +425;От -40 до +45;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Фланцевое;100;16;Углеродистая сталь;35;По запросу;21360;Под заказ
Клапан обратный подъемный фланцевый 16с10нж DN 125 PN 1,6 МПа У1, корпус ст. 25Л;Клапаны обратные;Россия;16с10нж;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -40 до +425;От -40 до +45;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Фланцевое;125;16;Углеродистая сталь;55;По запросу;33220;Под заказ
