Наименование;Раздел;Таблица фигур;Тип МИМ;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Принцип устройства;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
"Клапан отсечной фланцевый ""после себя"" нормально открытый 22с15п DN 15 PN 1,6 МПа У1 с мембранным исполнительным механизмом, корпус ст. 25Л";Клапаны отсечные;22с15п;МИМ 200;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды);От -40 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально открытый;15;16;Углеродистая сталь;22;По запросу;45000;Под заказ
"Клапан отсечной фланцевый ""после себя"" нормально открытый 22с15п DN 20 PN 1,6 МПа У1 с мембранным исполнительным механизмом, корпус ст. 25Л";Клапаны отсечные;22с15п;МИМ 200;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды);От -40 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально открытый;20;16;Углеродистая сталь;23;По запросу;46500;Под заказ
"Клапан отсечной фланцевый ""после себя"" нормально открытый 22с15п DN 25 PN 1,6 МПа У1 с мембранным исполнительным механизмом, корпус ст. 25Л";Клапаны отсечные;22с15п;МИМ 200;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды);От -40 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально открытый;25;16;Углеродистая сталь;24;По запросу;47550;Под заказ
"Клапан отсечной фланцевый ""после себя"" нормально открытый 22с15п DN 32 PN 1,6 МПа У1 с мембранным исполнительным механизмом, корпус ст. 25Л";Клапаны отсечные;22с15п;МИМ 250;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды);От -40 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально открытый;32;16;Углеродистая сталь;27;По запросу;59250;Под заказ
"Клапан отсечной фланцевый ""после себя"" нормально открытый 22с15п DN 40 PN 1,6 МПа У1 с мембранным исполнительным механизмом, корпус ст. 25Л";Клапаны отсечные;22с15п;МИМ 250;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды);От -40 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально открытый;40;16;Углеродистая сталь;30;По запросу;60900;Под заказ
"Клапан отсечной фланцевый ""после себя"" нормально открытый 22с15п DN 50 PN 1,6 МПа У1 с мембранным исполнительным механизмом, корпус ст. 25Л";Клапаны отсечные;22с15п;МИМ 250;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды);От -40 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально открытый;50;16;Углеродистая сталь;32;По запросу;66750;Под заказ
"Клапан отсечной фланцевый ""после себя"" нормально открытый 22с15п DN 65 PN 1,6 МПа У1 с мембранным исполнительным механизмом, корпус ст. 25Л";Клапаны отсечные;22с15п;МИМ 320;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды);От -40 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально открытый;65;16;Углеродистая сталь;55;По запросу;95550;Под заказ
"Клапан отсечной фланцевый ""после себя"" нормально открытый 22с15п DN 80 PN 1,6 МПа У1 с мембранным исполнительным механизмом, корпус ст. 25Л";Клапаны отсечные;22с15п;МИМ 320;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды);От -40 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально открытый;80;16;Углеродистая сталь;63;По запросу;108900;Под заказ
"Клапан отсечной фланцевый ""после себя"" нормально открытый 22с15п DN 100 PN 1,6 МПа У1 с мембранным исполнительным механизмом, корпус ст. 25Л";Клапаны отсечные;22с15п;МИМ 320;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды);От -40 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально открытый;100;16;Углеродистая сталь;72;По запросу;127200;Под заказ
"Клапан отсечной фланцевый ""после себя"" нормально открытый 22с15п DN 125 PN 1,6 МПа У1 с мембранным исполнительным механизмом, корпус ст. 25Л";Клапаны отсечные;22с15п;МИМ 400;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды);От -40 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально открытый;125;16;Углеродистая сталь;126;По запросу;193350;Под заказ
