Наименование;Раздел;Таблица фигур;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Сетчатый фильтр;Тип присоединения;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Конденсатоотводчик термодинамический под приварку 45с13нж DN 15 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Под приварку;15;40;Углеродистая сталь;1,2;По запросу;6360;15-20 рабочих дней
Конденсатоотводчик термодинамический под приварку 45с13нж DN 20 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Под приварку;20;40;Углеродистая сталь;1,3;По запросу;7080;15-20 рабочих дней
Конденсатоотводчик термодинамический под приварку 45с13нж DN 25 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Под приварку;25;40;Углеродистая сталь;1,4;По запросу;7200;15-20 рабочих дней
Конденсатоотводчик термодинамический под приварку 45с13нж DN 32 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Под приварку;32;40;Углеродистая сталь;5;По запросу;11280;15-20 рабочих дней
Конденсатоотводчик термодинамический под приварку 45с13нж DN 40 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Под приварку;40;40;Углеродистая сталь;5,1;По запросу;11880;15-20 рабочих дней
Конденсатоотводчик термодинамический под приварку 45с13нж DN 50 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Под приварку;50;40;Углеродистая сталь;5,2;По запросу;13440;15-20 рабочих дней
Конденсатоотводчик термодинамический муфтовый 45с13нж DN 15 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Муфтовое;15;40;Углеродистая сталь;1,2;По запросу;7440;15-20 рабочих дней
Конденсатоотводчик термодинамический муфтовый 45с13нж DN 20 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Муфтовое;20;40;Углеродистая сталь;1,3;По запросу;8160;15-20 рабочих дней
Конденсатоотводчик термодинамический муфтовый 45с13нж DN 25 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Муфтовое;25;40;Углеродистая сталь;1,4;По запросу;8400;15-20 рабочих дней
Конденсатоотводчик термодинамический муфтовый 45с13нж DN 32 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Муфтовое;32;40;Углеродистая сталь;5;По запросу;12360;15-20 рабочих дней
Конденсатоотводчик термодинамический муфтовый 45с13нж DN 40 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Муфтовое;40;40;Углеродистая сталь;5,1;По запросу;12960;15-20 рабочих дней
Конденсатоотводчик термодинамический муфтовый 45с13нж DN 50 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Муфтовое;50;40;Углеродистая сталь;5,2;По запросу;14520;15-20 рабочих дней
Конденсатоотводчик термодинамический фланцевый 45с13нж DN 15 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Фланцевое;15;40;Углеродистая сталь;1,4;По запросу;9720;15-20 рабочих дней
Конденсатоотводчик термодинамический фланцевый 45с13нж DN 20 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Фланцевое;20;40;Углеродистая сталь;1,5;По запросу;10440;15-20 рабочих дней
